Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,145.010828,-88.15,180.0,top
C2,4.7uF,C_0603_1608Metric,140.210828,-83.2,-90.0,top
C3,22uF,C_0805_2012Metric,145.210828,-82.55,180.0,top
C4,4.7uF,C_0603_1608Metric,115.5,-82.5,180.0,top
C5,4.7uF,C_0603_1608Metric,119.8,-88.5,0.0,top
D1,1N4007,D_SOD-123F,131.610828,-81.9,180.0,top
D2,1N4007,D_SOD-123F,131.610828,-84.25,180.0,top
D3,1N4007,D_SOD-123F,131.610828,-86.6,180.0,top
D5,RED,LED_0402_1005Metric,128.810828,-88.3,0.0,top
D6,ORANGE,LED_0402_1005Metric,134.860828,-82.5,180.0,top
D7,YELLOW,LED_0402_1005Metric,134.935828,-84.75,180.0,top
D8,GREEN,LED_0402_1005Metric,134.955828,-87.0,180.0,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,110.9,-85.5,-90.0,top
L1,2.2uH,L_0603_1608Metric,141.810828,-83.2,-90.0,top
Q1,Q_PMOS_GSD,SOT-23-3,122.2625,-85.2,180.0,top
R1,2M,R_0603_1608Metric,140.210828,-87.2,-90.0,top
R10,100,R_0603_1608Metric,137.360828,-82.5,0.0,top
R11,100,R_0603_1608Metric,137.435828,-84.75,0.0,top
R12,100,R_0603_1608Metric,137.435828,-86.9,0.0,top
R2,180k,R_0603_1608Metric,141.810828,-87.2,90.0,top
R7,10k,R_0603_1608Metric,115.5,-88.5,180.0,top
R8,10k,R_0603_1608Metric,119.0,-82.5,0.0,top
R9,100,R_0603_1608Metric,126.285828,-88.25,180.0,top
SW1,SW_Push,SW_SPST_B3U-1000P,126.910828,-84.5,-90.0,top
U2,MCP73831-2-OT,SOT-23-5,117.5,-85.5,270.0,top
U3,TPS61201DRC,TPS61201DRC,144.810828,-85.55,0.0,top
