Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10p,C_0402_1005Metric,192.98,-77.9,180.0,top
C10,100n,C_0402_1005Metric,188.5,-79.1,90.0,top
C11,4u7,C_0603_1608Metric,192.5,-79.3,0.0,top
C12,10n,C_0402_1005Metric,192.0,-89.13,0.0,top
C13,1u,C_0402_1005Metric,192.0,-90.2,0.0,top
C14,100n,C_0402_1005Metric,196.5,-80.9,0.0,top
C15,100p,C_0402_1005Metric,195.1,-81.9,0.0,top
C16,0.3p,C_0402_1005Metric,199.1,-83.5,-90.0,top
C17,0.8p,C_0402_1005Metric,195.9,-83.52,-90.0,top
C18,22u,C_0805_2012Metric,166.0,-96.3,-90.0,top
C19,22u,C_0805_2012Metric,164.1,-90.45,0.0,top
C2,10p,C_0402_1005Metric,197.3,-79.0,90.0,top
C20,22u,C_0805_2012Metric,166.2,-79.45,90.0,top
C21,22u,C_0805_2012Metric,164.2,-86.7,0.0,top
C22,0.1u,C_0402_1005Metric,170.693101,-72.663101,90.0,top
C23,0.1u,C_0402_1005Metric,176.693101,-73.463101,0.0,top
C24,0.1u,C_0402_1005Metric,170.793101,-70.783101,90.0,top
C3,0.1uF,C_0402_1005Metric,190.4,-89.7,-90.0,top
C4,100n,C_0402_1005Metric,185.2,-87.4,90.0,top
C5,100n,C_0402_1005Metric,189.5,-79.1,90.0,top
C6,100n,C_0402_1005Metric,190.5,-79.08,90.0,top
C7,100n,C_0402_1005Metric,185.98,-89.0,180.0,top
C8,100n,C_0402_1005Metric,195.0,-85.0,0.0,top
C9,100n,C_0402_1005Metric,187.4,-79.1,90.0,top
J1,Conn_01x05_Socket,PinSocket_1x05_P2.54mm_Horizontal,187.02,-75.5,180.0,top
J2,JST 1x2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,159.0,-88.45,-90.0,top
J3,LOWERBACK,CON_527450897_MOL,173.8,-94.824999,0.0,top
J4,MIDBACK,CON_527450897_MOL,173.8,-84.099999,0.0,top
J5,RIGHTSHOULDER,CON_527450897_MOL,208.651069,-71.9,90.0,top
J6,LEFTSHOULDER,CON_527450897_MOL,160.9,-71.800003,-90.0,top
L1,2.7n,L_0402_1005Metric,197.5,-83.0,0.0,top
R1,4k7,R_0603_1608Metric,194.2,-91.9,180.0,top
R2,4k7,R_0603_1608Metric,194.2,-93.6,180.0,top
R3,4k7,R_0402_1005Metric,185.2,-90.5,180.0,top
R4,10k,R_0402_1005Metric,187.99,-89.0,0.0,top
R5,1k2,R_0603_1608Metric,176.293101,-70.438101,90.0,top
R6,1k2,R_0603_1608Metric,177.893101,-71.363101,90.0,top
SW2,SW_Push,SW_Push_1P1T-SH_NO_CK_KMR2xxG,201.25,-95.3,0.0,top
U1,STM32WB10CCUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,189.9,-84.3,90.0,top
U2,DLF162500LT-5028A1,DLF-4_1P6X0P8,200.7904,-83.1,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,160.5,-95.2,0.0,top
U4,TCA9548APWR,PW24_TEX,188.579,-95.374999,270.0,top
U5,AMS1117-1.8,SOT-223-3_TabPin2,160.5,-81.95,180.0,top
U6,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,173.443101,-72.413101,180.0,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,195.4,-78.8,-90.0,top
